unique_identify,-logAffi
1swr_CHEMBL1075026_CHEMBL857,14.0
1hp5_CHEMBL1075027_CHEMBL257158,4.698970004336019
1hp5_CHEMBL1075027_CHEMBL403756,4.0
1hp5_CHEMBL1075027_CHEMBL404356,3.6989700043360174
1jak_CHEMBL1075027_CHEMBL253537,4.6777807052660805
2o3z_CHEMBL1075040_CHEMBL1161944,5.638272163982407
2o3z_CHEMBL1075040_CHEMBL1161946,5.045757490560675
2o3z_CHEMBL1075040_CHEMBL1161947,5.0655015487564325
2o3z_CHEMBL1075040_CHEMBL1161949,5.698970004336019
4je7_CHEMBL1075041_CHEMBL308333,7.568636235841013
3h26_CHEMBL1075045_CHEMBL567987,3.569763646588489
3h2f_CHEMBL1075045_CHEMBL577547,5.279014255846261
3h2f_CHEMBL1075045_CHEMBL577755,4.06198090252379
3h2f_CHEMBL1075045_CHEMBL578135,3.6675615400843946
3h2o_CHEMBL1075045_CHEMBL576455,4.059981844992337
4daf_CHEMBL1075045_CHEMBL3219803,4.958607314841775
1gx8_CHEMBL1075053_CHEMBL986,7.443697499232712
2v00_CHEMBL1075067_CHEMBL235821,3.657577319177794
3iqg_CHEMBL1075088_CHEMBL568900,4.600000074606178
3iqh_CHEMBL1075088_CHEMBL568828,4.589999963296594
3iqh_CHEMBL1075088_CHEMBL568986,4.219999989963101
3iqh_CHEMBL1075088_CHEMBL568987,3.720000004094201
3iqi_CHEMBL1075088_CHEMBL568812,2.990000000967972
3iqi_CHEMBL1075088_CHEMBL569308,4.41000005022751
3iqi_CHEMBL1075088_CHEMBL569309,1.87999999985386
3iqi_CHEMBL1075088_CHEMBL570451,1.8200000001251635
3iqi_CHEMBL1075088_CHEMBL571766,3.239999997990306
3iqi_CHEMBL1075088_CHEMBL571997,4.360000032076103
3iqi_CHEMBL1075088_CHEMBL576268,2.6400000005247044
3iqi_CHEMBL1075088_CHEMBL585737,2.470000000178415
3kv2_CHEMBL1075097_CHEMBL1234777,7.327902142064283
3lp4_CHEMBL1075097_CHEMBL1834160,4.221848749616356
3mfv_CHEMBL1075097_CHEMBL1099168,2.5228787452803374
3mfw_CHEMBL1075097_CHEMBL1099167,3.5228787452803374
3mjl_CHEMBL1075097_CHEMBL291627,2.4436974992327127
3gt9_CHEMBL1075127_CHEMBL1090770,3.795880017344075
3gt9_CHEMBL1075127_CHEMBL1090867,4.167491087293763
3gt9_CHEMBL1075127_CHEMBL1091216,4.161150909262744
3gt9_CHEMBL1075127_CHEMBL1092184,3.795880017344075
3gt9_CHEMBL1075127_CHEMBL1092185,3.853871964321762
3gt9_CHEMBL1075127_CHEMBL1093598,3.853871964321762
3gt9_CHEMBL1075127_CHEMBL1094001,3.886056647693163
3gta_CHEMBL1075127_CHEMBL1089012,2.920818753952376
3gta_CHEMBL1075127_CHEMBL1089023,4.167491087293763
3gta_CHEMBL1075127_CHEMBL1089024,4.3979400086720375
3gta_CHEMBL1075127_CHEMBL1089398,4.346787486224656
3gta_CHEMBL1075127_CHEMBL1089693,3.6989700043360174
3gta_CHEMBL1075127_CHEMBL1089694,3.337242168318426
3gta_CHEMBL1075127_CHEMBL1089695,3.136677139879544
3gta_CHEMBL1075127_CHEMBL1090431,3.886056647693163
3gta_CHEMBL1075127_CHEMBL1090866,3.9208187539523753
3gta_CHEMBL1075127_CHEMBL1091044,3.958607314841775
3gta_CHEMBL1075127_CHEMBL1091045,4.0
3gta_CHEMBL1075127_CHEMBL1091215,3.677780705266081
3gta_CHEMBL1075127_CHEMBL1091442,3.886056647693163
